time_s,ue_id,imsi,serving_cell,x_m,y_m,z_m,dl_throughput_mbps,handover_count,rsrp_dbm_cell_1,rsrp_dbm_cell_2,rsrp_dbm_cell_3,rsrp_dbm_cell_4,rsrp_dbm_cell_5,rsrp_dbm_cell_6,rsrp_dbm_cell_7,load_cell_1,load_cell_2,load_cell_3,load_cell_4,load_cell_5,load_cell_6,load_cell_7,ue_count_cell_1,ue_count_cell_2,ue_count_cell_3,ue_count_cell_4,ue_count_cell_5,ue_count_cell_6,ue_count_cell_7
2.000,8,9,5,1244.609,1382.709,0.000,0.115,0,-95.239,-92.474,-92.003,-83.676,-82.209,-89.415,-96.051,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
2.000,9,10,3,147.134,275.667,0.000,0.557,0,-66.180,-72.017,-63.716,-83.057,-81.584,-80.177,-78.936,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
2.000,10,11,2,971.613,-151.096,0.000,0.295,0,-84.832,-73.655,-87.664,-78.126,-88.669,-91.793,-92.872,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
2.000,11,12,6,144.052,1152.877,0.000,0.000,0,-87.555,-88.171,-78.542,-86.310,-69.663,-59.784,-83.695,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
2.000,12,13,4,994.864,207.525,0.000,0.631,0,-85.371,-74.961,-85.700,-65.113,-83.999,-89.032,-91.975,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
2.000,13,14,3,-247.561,602.530,0.000,0.549,0,-78.118,-84.444,-63.697,-88.772,-82.392,-72.744,-63.966,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
2.000,14,15,1,-584.848,-172.677,0.000,0.180,0,-77.043,-86.640,-83.231,-93.974,-92.752,-89.519,-78.770,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
2.000,15,16,4,1334.953,526.159,0.000,0.819,0,-91.000,-84.892,-89.825,-67.354,-84.442,-90.790,-95.016,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
2.000,16,17,2,360.145,-264.518,0.000,0.508,0,-71.983,-65.479,-82.362,-85.057,-89.036,-89.573,-87.399,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
2.000,17,18,2,668.560,76.498,0.000,0.819,0,-78.648,-57.767,-81.292,-74.996,-84.076,-87.247,-88.656,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
